"Division, Sub-Ddivision
Group","Class,Descriptions",Class Description,ISIC-P,ISIC Description,UID,ANZSIC CODE,Level,Division,Sub-Ddivision,Group,Class,Code,Description,ISIC Description,ISIC,ISIC-P,#ANZSIC,"PARENT #ANZSIC",#ISIC,Used For Concordance ,"Matches to 
Concordance
(ANZIC to ISIC)","Matches to 
Concordance
(ISIC to ANZIC)",Matched to NETVIEW,Match ISIC for description,Comments,,,,"#ANZSIC
Codes
Unique",Code
,0193,Beekeeping,0149p,Raising of other animals,F7.0070,Yes,4,A,01,019,0193,0193,Beekeeping, Raising of other animals ,0149,p,ANZSIC-0193,ANZSIC-019,ISIC-0149,Yes,1,3,1,Raising of other animals,,,,,ANZSIC-0529,0529
,0199,Other Livestock Farming n.e.c.,0142p,Raising of horses and other equines,F7.0071,Yes,4,A,01,019,0199,0199,Other Livestock Farming n.e.c., Raising of horses and other equines ,0142,p,ANZSIC-0199,ANZSIC-019,ISIC-0142,Yes,4,2,4,Raising of horses and other equines,,,,,ANZSIC-B,B
,,,0143,Raising of camels and camelids,F7.0072,No,4,A,01,019,0199,0199,Other Livestock Farming n.e.c., Raising of camels and camelids ,0143,..,ANZSIC-0199,ANZSIC-019,ISIC-0143,Yes,4,1,4,Raising of camels and camelids,,,,,ANZSIC-06,06
,,,0144p,Raising of sheep and goats,F7.0073,No,4,A,01,019,0199,0199,Other Livestock Farming n.e.c., Raising of sheep and goats ,0144,p,ANZSIC-0199,ANZSIC-019,ISIC-0144,Yes,4,3,4,Raising of sheep and goats,,,,,ANZSIC-060,060
,,,0149p,Raising of other animals,F7.0074,No,4,A,01,019,0199,0199,Other Livestock Farming n.e.c., Raising of other animals ,0149,p,ANZSIC-0199,ANZSIC-019,ISIC-0149,Yes,4,3,4,Raising of other animals,,,,,ANZSIC-0600,0600
02,Aquaculture,,,,F7.0075,Yes,2,A,02,..,..,02,Aquaculture, .. ,..,..,ANZSIC-02,ANZSIC-A,..,No,..,..,1,..,,,,,ANZSIC-07,07
020,Aquaculture,,,,F7.0076,Yes,3,A,02,020,..,020,Aquaculture, .. ,..,..,ANZSIC-020,ANZSIC-02,..,No,..,..,1,..,,,,,ANZSIC-070,070
,0201,Offshore Longline and Rack Aquaculture,0321p,Marine aquaculture,F7.0077,Yes,4,A,02,020,0201,0201,Offshore Longline and Rack Aquaculture, Marine aquaculture ,0321,p,ANZSIC-0201,ANZSIC-020,ISIC-0321,Yes,1,3,1,Marine aquaculture,,,,,ANZSIC-0700,0700
,0202,Offshore Caged Aquaculture,0321p,Marine aquaculture,F7.0078,Yes,4,A,02,020,0202,0202,Offshore Caged Aquaculture, Marine aquaculture ,0321,p,ANZSIC-0202,ANZSIC-020,ISIC-0321,Yes,1,3,1,Marine aquaculture,,,,,ANZSIC-08,08
,0203,Onshore Aquaculture,0321p,Marine aquaculture,F7.0079,Yes,4,A,02,020,0203,0203,Onshore Aquaculture, Marine aquaculture ,0321,p,ANZSIC-0203,ANZSIC-020,ISIC-0321,Yes,2,3,2,Marine aquaculture,,,,,ANZSIC-080,080
,,,0322,Freshwater aquaculture,F7.0080,No,4,A,02,020,0203,0203,Onshore Aquaculture, Freshwater aquaculture ,0322,..,ANZSIC-0203,ANZSIC-020,ISIC-0322,Yes,2,1,2,Freshwater aquaculture,,,,,ANZSIC-0801,0801
03,Forestry and Logging,,,,F7.0081,Yes,2,A,03,..,..,03,Forestry and Logging, .. ,..,..,ANZSIC-03,ANZSIC-A,..,No,..,..,1,..,,,,,ANZSIC-0802,0802
030,Forestry and Logging,,,,F7.0082,Yes,3,A,03,030,..,030,Forestry and Logging, .. ,..,..,ANZSIC-030,ANZSIC-03,..,No,..,..,1,..,,,,,ANZSIC-0803,0803
,0301,Forestry,0210p,Silviculture and other forestry activities,F7.0083,Yes,4,A,03,030,0301,0301,Forestry, Silviculture and other forestry activities ,0210,p,ANZSIC-0301,ANZSIC-030,ISIC-0210,Yes,2,2,2,Silviculture and other forestry activities,,,,,ANZSIC-0804,0804
,,,0230,Gathering of non-wood forest products,F7.0084,No,4,A,03,030,0301,0301,Forestry, Gathering of non-wood forest products ,0230,..,ANZSIC-0301,ANZSIC-030,ISIC-0230,Yes,2,1,2,Gathering of non-wood forest products,,,,,ANZSIC-0805,0805
,0302,Logging,0220,Logging,F7.0085,Yes,4,A,03,030,0302,0302,Logging, Logging ,0220,..,ANZSIC-0302,ANZSIC-030,ISIC-0220,Yes,1,1,1,Logging,,,,,ANZSIC-0806,0806
04,"Fishing, Hunting and Trapping",,,,F7.0086,Yes,2,A,04,..,..,04,"Fishing, Hunting and Trapping", .. ,..,..,ANZSIC-04,ANZSIC-A,..,No,..,..,1,..,,,,,ANZSIC-0807,0807
041,Fishing,,,,F7.0087,Yes,3,A,04,041,..,041,Fishing, .. ,..,..,ANZSIC-041,ANZSIC-04,..,No,..,..,1,..,,,,,ANZSIC-0809,0809
,0411,Rock Lobster and Crab Potting,0311p,Marine fishing,F7.0088,Yes,4,A,04,041,0411,0411,Rock Lobster and Crab Potting, Marine fishing ,0311,p,ANZSIC-0411,ANZSIC-041,ISIC-0311,Yes,1,7,1,Marine fishing,,,,,ANZSIC-09,09
