Source,Target,UID,#NACE,#ISIC,#NACE matches,#ISIC matches
94.92,9492,F6.0964,NACE-94.92,ISIC-9492,1,1
94.99,9499,F6.0965,NACE-94.99,ISIC-9499,1,1
95,95,F6.0966,NACE-95,ISIC-95,1,1
95.1,951,F6.0967,NACE-95.1,ISIC-951,1,1
95.11,9511,F6.0968,NACE-95.11,ISIC-9511,1,1
95.12,9512,F6.0969,NACE-95.12,ISIC-9512,1,1
95.2,952,F6.0970,NACE-95.2,ISIC-952,1,1
95.21,9521,F6.0971,NACE-95.21,ISIC-9521,1,1
95.22,9522,F6.0972,NACE-95.22,ISIC-9522,1,1
95.23,9523,F6.0973,NACE-95.23,ISIC-9523,1,1
95.24,9524,F6.0974,NACE-95.24,ISIC-9524,1,1
95.25,9529,F6.0975,NACE-95.25,ISIC-9529,1,1
95.29,9529,F6.0976,NACE-95.29,ISIC-9529,1,1
96,96,F6.0977,NACE-96,ISIC-96,1,1
96.0,960,F6.0978,NACE-96.0,ISIC-960,1,1
96.01,9601,F6.0979,NACE-96.01,ISIC-9601,1,1
96.02,9602,F6.0980,NACE-96.02,ISIC-9602,1,1
96.03,9603,F6.0981,NACE-96.03,ISIC-9603,1,1
96.04,9609,F6.0982,NACE-96.04,ISIC-9609,1,1
96.09,9609,F6.0983,NACE-96.09,ISIC-9609,1,1
T,T,F6.0984,NACE-T,ISIC-T,1,1
97,97,F6.0985,NACE-97,ISIC-97,1,1
97.0,970,F6.0986,NACE-97.0,ISIC-970,1,1
97.00,9700,F6.0987,NACE-97.00,ISIC-9700,1,1
98,98,F6.0988,NACE-98,ISIC-98,1,1
98.1,981,F6.0989,NACE-98.1,ISIC-981,1,1
98.10,9810,F6.0990,NACE-98.10,ISIC-9810,1,1
98.2,982,F6.0991,NACE-98.2,ISIC-982,1,1
98.20,9820,F6.0992,NACE-98.20,ISIC-9820,1,1
U,U,F6.0993,NACE-U,ISIC-U,1,1
99,99,F6.0994,NACE-99,ISIC-99,1,1
99.0,990,F6.0995,NACE-99.0,ISIC-990,1,1
99.00,9900,F6.0996,NACE-99.00,ISIC-9900,1,1
